año	mes	dia	obs_method_key	magnitude	delta	r	magnitud_reducida
2024	8	12	Z	8.2	1.985	1.161	6.3870363458114605
2024	8	11	M	8.9	1.991	1.18	7.045233663332326
2024	8	11	Z	8.4	1.991	1.18	6.545233663332326
2024	8	10	S	9.0	1.997	1.198	7.105825585380024
2024	8	10	M	8.6	1.997	1.198	6.7058255853800235
2024	8	10	Z	8.4	1.997	1.198	6.505825585380024
2024	8	9	C	8.7	2.003	1.216	6.766927378848537
2024	8	7	M	8.7	2.013	1.252	6.692759481184672
2024	8	6	Z	8.6	2.018	1.27	6.556375585715757
2024	8	6	M	8.5	2.018	1.27	6.456375585715757
2024	8	6	M	8.6	2.018	1.27	6.556375585715757
2024	8	5	V	9.4	2.022	1.288	7.321514928606122
2024	8	5	S	8.5	2.022	1.288	6.421514928606122
2024	8	4	Z	8.7	2.026	1.306	6.587086910183416
2024	8	3	Z	9.2	2.029	1.324	7.054149839314864
2024	8	3	M	8.8	2.029	1.324	6.654149839314865
2024	8	2	Z	8.8	2.032	1.342	6.621618902775726
2024	8	2	C	9.6	2.032	1.342	7.421618902775725
2024	8	1	M	9.0	2.035	1.359	6.791080648531334
2024	8	1	Z	9.5	2.035	1.359	7.291080648531334
2024	8	1	C	9.7	2.035	1.359	7.491080648531334
2024	8	1	M	8.9	2.035	1.359	6.691080648531335
2024	8	1	M	8.9	2.035	1.359	6.691080648531335
2024	8	1	C	6.9	2.035	1.359	4.691080648531335
2024	7	31	M	9.2	2.037	1.377	6.96037515371456
2024	7	31	Z	8.8	2.037	1.377	6.560375153714562
2024	7	31	S	8.7	2.037	1.377	6.46037515371456
2024	7	31	M	8.9	2.037	1.377	6.660375153714561
2024	7	30	S	8.8	2.039	1.394	6.5316000022993475
2024	7	30	M	8.7	2.039	1.394	6.431600002299346
2024	7	30	C	9.1	2.039	1.394	6.831600002299346
2024	7	29	Z	8.9	2.04	1.412	6.602675679291582
2024	7	29	C	8.9	2.04	1.412	6.602675679291582
2024	7	28	S	8.9	2.042	1.429	6.5745601672906915
2024	7	27	C	9.1	2.042	1.447	6.747378655650355
2024	7	26	C	9.2	2.043	1.464	6.820952783225896
2024	7	26	Z	9.8	2.043	1.464	7.420952783225897
2024	7	26	S	9.0	2.043	1.464	6.6209527832258965
2024	7	26	C	9.0	2.043	1.464	6.6209527832258965
2024	7	25	M	9.5	2.043	1.481	7.0958828742317195
2024	7	24	S	9.3	2.043	1.498	6.871099100020524
2024	7	23	Z	9.1	2.043	1.515	6.6465950026461424
2024	7	23	M	9.3	2.043	1.515	6.8465950026461435
2024	7	23	M	9.5	2.043	1.515	7.046595002646143
2024	7	22	M	9.9	2.042	1.532	7.423427484762618
2024	7	22	C	9.3	2.042	1.532	6.823427484762618
2024	7	22	M	9.1	2.042	1.532	6.623427484762617
2024	7	21	C	9.4	2.041	1.549	6.900527887623618
2024	7	21	M	10.0	2.041	1.549	7.500527887623617
2024	7	21	S	10.3	2.041	1.549	7.800527887623618
2024	7	21	C	10.3	2.041	1.549	7.800527887623618
2024	7	20	C	10.3	2.04	1.566	7.777890374260884
2024	7	19	C	10.4	2.038	1.583	7.856574527336183
2024	7	18	S	10.5	2.037	1.599	7.935802536268006
2024	7	18	Z	9.3	2.037	1.599	6.7358025362680065
2024	7	18	C	10.4	2.037	1.599	7.835802536268006
2024	7	17	S	9.5	2.034	1.616	6.916038474873535
2024	7	16	Z	9.3	2.032	1.633	6.695450558257251
2024	7	16	C	10.4	2.032	1.633	7.795450558257251
2024	7	16	V	10.5	2.032	1.633	7.8954505582572505
2024	7	15	S	10.0	2.03	1.649	7.3764165322113415
2024	7	15	V	10.6	2.03	1.649	7.976416532211341
2024	7	15	V	12.1	2.03	1.649	9.476416532211342
2024	7	14	C	10.1	2.027	1.666	7.457356271181112
2024	7	14	S	9.5	2.027	1.666	6.8573562711811125
2024	7	13	C	10.0	2.024	1.682	7.339817501851726
2024	7	13	V	10.5	2.024	1.682	7.839817501851726
2024	7	12	S	10.0	2.02	1.699	7.3222762584216525
2024	7	12	C	10.5	2.02	1.699	7.8222762584216525
2024	7	11	S	10.3	2.017	1.715	7.605149887042227
2024	7	11	C	10.4	2.017	1.715	7.705149887042227
2024	7	10	S	10.4	2.013	1.731	7.689295786179758
2024	7	10	M	9.6	2.013	1.731	6.8892957861797575
2024	7	9	S	10.4	2.009	1.748	7.6723931747668335
2024	7	9	M	9.7	2.009	1.748	6.972393174766832
2024	7	8	S	9.7	2.005	1.764	6.956935211239989
2024	7	8	Z	9.6	2.005	1.764	6.856935211239989
2024	7	8	S	10.1	2.005	1.764	7.356935211239989
2024	7	7	S	10.0	2.001	1.78	7.241664545274473
2024	7	6	M	10.0	1.996	1.796	7.2276656535868105
