	año	mes	día	magnitude	delta	r	magnitud_reducida
0	2023	2	25	18.3	6.946	7.29	9.77768846353641
1	2023	2	26	18.1	6.921	7.281	9.588200598538236
2	2023	2	27	18.0	6.896	7.272	9.498744384847162
3	2023	2	28	18.2	6.871	7.264	9.709021079730313
4	2023	3	1	17.9	6.847	7.255	9.41931127679463
5	2023	3	2	18.2	6.822	7.246	9.729949776150518
6	2023	3	3	18.0	6.798	7.237	9.540301335634528
7	2023	3	15	17.8	6.517	7.131	9.46400921278279
8	2023	3	16	18.1	6.495	7.122	9.774094376263593
9	2023	3	18	18.1	6.451	7.104	9.79435002667703
10	2023	3	19	17.7	6.429	7.096	9.404214837074194
11	2023	3	21	18.4	6.386	7.078	10.124302637475388
12	2023	3	22	18.5	6.365	7.069	10.234218051745135
13	2023	3	24	17.6	6.323	7.051	9.354130517548699
14	2023	3	26	17.5	6.282	7.033	9.27380725262054
15	2023	3	28	17.7	6.243	7.015	9.49289494852166
16	2023	3	29	17.5	6.223	7.006	9.30265033016928
17	2023	3	30	16.9	6.204	6.998	8.711771363557723
18	2023	4	1	14.5	6.166	6.98	6.330705284931748
19	2023	4	9	17.4	6.026	6.908	9.3030927188362
20	2023	4	11	17.4	5.994	6.89	9.320320197413741
21	2023	4	13	17.2	5.963	6.872	9.137260199155373
22	2023	4	14	17.2	5.948	6.863	9.145575206297059
23	2023	4	16	16.1	5.919	6.845	8.06189103779069
24	2023	4	17	17.0	5.905	6.836	8.969890220008836
25	2023	4	20	17.3	5.865	6.808	9.293562182359604
26	2023	4	21	17.0	5.852	6.799	9.001253206863078
27	2023	4	22	17.3	5.84	6.79	9.308586893035496
28	2023	4	23	17.1	5.827	6.781	9.116306187664204
29	2023	4	24	17.5	5.816	6.772	9.523293263560605
30	2023	4	25	16.8	5.804	6.763	8.830666044044797
31	2023	4	26	16.8	5.793	6.754	8.837677076007752
32	2023	4	27	16.9	5.782	6.745	8.944699793287189
33	2023	4	28	16.9	5.772	6.736	8.951357995434751
34	2023	4	29	17.0	5.762	6.727	9.058026591864017
35	2023	4	30	17.1	5.752	6.718	9.164705615597644
36	2023	5	1	17.3	5.742	6.708	9.371718789527325
37	2023	5	7	16.7	5.692	6.654	8.808261560274747
38	2023	5	11	16.1	5.666	6.617	8.230311475859931
39	2023	5	13	17.0	5.654	6.599	9.140830337421882
40	2023	5	14	16.7	5.649	6.589	8.84604458858068
41	2023	5	15	16.9	5.644	6.58	9.05093550651867
42	2023	5	16	16.9	5.64	6.571	9.05544714413071
43	2023	5	17	17.5	5.635	6.562	9.66034926783923
44	2023	5	18	17.0	5.631	6.553	9.164871523514263
45	2023	5	19	16.4	5.628	6.543	8.569344954694646
46	2023	5	21	17.0	5.621	6.525	9.178029493483717
47	2023	5	22	16.9	5.619	6.516	9.081799461343142
48	2023	5	23	16.2	5.616	6.506	8.386294209662081
49	2023	5	24	17.4	5.614	6.497	9.590073624681054
50	2023	5	25	17.2	5.613	6.488	9.393470582886138
51	2023	5	26	17.0	5.611	6.479	9.197258756756082
52	2023	5	27	16.9	5.61	6.469	9.100999938016749
53	2023	5	28	17.1	5.609	6.46	9.304410209976997
54	2023	5	29	16.4	5.608	6.451	8.607824765736739
55	2023	5	31	16.4	5.608	6.432	8.614229796505015
56	2023	6	1	16.5	5.608	6.423	8.717270365136486
57	2023	6	2	16.0	5.608	6.414	8.220315197244881
58	2023	6	3	16.8	5.609	6.404	9.023316183716107
59	2023	6	4	17.2	5.61	6.395	9.425982949645828
60	2023	6	5	16.7	5.611	6.386	8.928654085465583
61	2023	6	7	16.8	5.614	6.367	9.03396370918869
62	2023	6	8	16.9	5.616	6.358	9.136261886497483
63	2023	6	9	16.8	5.619	6.348	9.038520249111448
64	2023	6	10	16.8	5.621	6.339	9.040828314675432
65	2023	6	11	16.5	5.624	6.329	8.74309796156843
66	2023	6	12	17.3	5.627	6.32	9.545030032818111
67	2023	6	13	16.9	5.63	6.311	9.14696712486939
68	2023	6	14	16.4	5.633	6.301	8.64925384574761
69	2023	6	15	16.3	5.636	6.292	8.551201508057162
70	2023	6	16	16.8	5.64	6.282	9.05311481977086
71	2023	6	18	16.8	5.648	6.264	9.056267814531829
72	2023	6	19	16.7	5.652	6.254	8.958199849582822
73	2023	6	22	16.1	5.666	6.226	8.362571567345427
74	2023	6	24	16.3	5.676	6.207	8.565379339145835
75	2023	6	25	16.6	5.681	6.198	8.866618194097388
76	2023	7	6	16.8	5.748	6.093	9.078260312066714
77	2023	7	7	16.7	5.754	6.083	8.979561629913846
78	2023	7	8	16.7	5.761	6.074	8.980136685956133
79	2023	7	11	16.5	5.781	6.045	8.78300362714047
80	2023	7	12	16.4	5.788	6.036	8.683611232247237
81	2023	7	13	16.3	5.795	6.026	8.584587161815236
82	2023	7	15	16.7	5.81	6.007	8.98583117831157
83	2023	7	17	16.7	5.824	5.988	8.987484210120021
84	2023	7	18	16.6	5.831	5.978	8.888505239378471
85	2023	7	20	16.6	5.845	5.959	8.890210495386773
86	2023	8	2	16.8	5.938	5.833	9.102339151549796
87	2023	8	6	16.2	5.965	5.794	8.507055305629482
88	2023	8	7	16.4	5.972	5.784	8.708259583302688
89	2023	8	8	16.4	5.978	5.774	8.709836548760181
90	2023	8	13	16.3	6.009	5.725	8.61711152487418
91	2023	8	16	16.5	6.027	5.696	8.821644139516442
92	2023	8	18	16.5	6.038	5.676	8.825322522637423
93	2023	8	21	15.5	6.054	5.646	7.831083547842726
94	2023	9	3	16.2	6.106	5.517	8.562701080398085
95	2023	9	5	15.7	6.111	5.497	8.068809896572214
96	2023	9	6	15.3	6.114	5.487	7.6716980270692545
97	2023	9	10	16.2	6.122	5.447	8.58474649732776
98	2023	11	28	14.5	5.486	4.624	7.478631856595085
99	2023	12	7	14.7	5.311	4.526	7.795545744810765
100	2023	12	10	14.4	5.249	4.493	7.536935043194171
101	2023	12	15	14.6	5.14	4.438	7.809247915543674
102	2023	12	18	14.0	5.072	4.405	7.254374211891285
103	2023	12	19	14.4	5.049	4.394	7.669672883600112
104	2023	12	20	14.1	5.026	4.383	7.385030225447418
105	2023	12	21	14.0	5.002	4.372	7.300880796639255
106	2023	12	22	14.3	4.979	4.361	7.616358935255571
107	2023	12	25	14.4	4.907	4.327	7.764985234101802
108	2023	12	27	14.0	4.858	4.305	7.397846668706074
109	2023	12	31	14.5	4.757	4.26	7.966286247386897
110	2024	1	4	13.9	4.654	4.215	7.43688021044264
111	2024	1	5	13.8	4.628	4.204	7.354719711820417
112	2024	1	7	13.7	4.575	4.181	7.291643670235589
113	2024	1	8	13.9	4.548	4.17	7.510217445052727
114	2024	1	9	14.2	4.521	4.158	7.829405039851276
115	2024	1	10	14.0	4.494	4.147	7.64816448276436
116	2024	1	13	14.2	4.413	4.113	7.90553681521816
117	2024	1	14	13.8	4.385	4.101	7.52570316505228
118	2024	1	17	14.4	4.302	4.067	8.185277107719845
119	2024	1	18	13.9	4.274	4.056	7.70533767923335
120	2024	1	20	13.9	4.218	4.033	7.746326012944569
121	2024	1	21	14.2	4.189	4.021	8.067777832679345
122	2024	1	22	14.0	4.161	4.01	7.888289557934352
123	2024	1	24	13.9	4.104	3.986	7.831276767658857
124	2024	1	28	13.8	3.988	3.94	7.81874314267404
125	2024	1	29	13.8	3.96	3.928	7.840666674797879
126	2024	2	5	13.6	3.755	3.846	7.801903893786759
127	2024	2	7	13.3	3.696	3.823	7.549318697164514
128	2024	2	8	13.7	3.667	3.811	7.97325070633615
129	2024	2	9	13.5	3.637	3.799	7.797937026952838
130	2024	2	10	13.4	3.608	3.787	7.722190830046349
131	2024	2	12	13.1	3.549	3.764	7.47122192948594
132	2024	2	13	13.5	3.52	3.752	7.895972534074211
133	2024	2	14	13.1	3.49	3.74	7.5215148542016985
134	2024	2	16	13.9	3.431	3.716	8.372517883111112
135	2024	2	17	13.3	3.402	3.704	7.797973563567766
136	2024	2	18	13.0	3.373	3.692	7.52360983228462
137	2024	2	19	12.9	3.343	3.68	7.450079023669569
138	2024	2	20	13.1	3.314	3.668	7.676090844593492
139	2024	2	21	13.0	3.285	3.656	7.6022921952120335
140	2024	2	24	12.3	3.198	3.62	6.982064850283093
141	2024	2	25	13.0	3.169	3.608	7.709056159698976
142	2024	2	29	12.7	3.054	3.559	7.519014896378757
143	2024	3	3	12.8	2.969	3.523	7.702385796113565
144	2024	3	4	12.8	2.941	3.511	7.730370730137898
145	2024	3	5	12.7	2.913	3.498	7.659198551148374
146	2024	3	6	12.6	2.885	3.486	7.587633998671377
147	2024	3	7	12.8	2.858	3.474	7.815539807169844
148	2024	3	8	12.7	2.83	3.461	7.7450598259079095
149	2024	3	9	12.5	2.803	3.449	7.573418539361616
150	2024	3	10	11.9	2.776	3.437	7.002005030399787
151	2024	3	11	12.6	2.749	3.424	7.731457520757079
152	2024	3	12	12.5	2.722	3.412	7.660514283185994
153	2024	3	13	12.4	2.696	3.4	7.589005975472313
154	2024	3	14	12.2	2.669	3.387	7.41918114783931
155	2024	3	15	12.3	2.643	3.375	7.54814529850623
156	2024	3	16	12.3	2.617	3.362	7.577992841283335
157	2024	3	17	12.2	2.592	3.35	7.506600978822995
158	2024	3	18	12.3	2.566	3.337	7.636935706531489
159	2024	3	19	12.2	2.541	3.325	7.566018426552535
160	2024	3	20	12.1	2.516	3.312	7.495995175569631
161	2024	3	21	12.1	2.491	3.3	7.5255616629280295
162	2024	3	22	12.1	2.467	3.287	7.555155732143198
163	2024	3	23	11.5	2.443	3.274	6.984989289753203
164	2024	3	24	12.0	2.419	3.262	7.514400874669317
165	2024	3	25	11.5	2.396	3.249	7.043817374688717
166	2024	3	28	11.5	2.327	3.211	7.1328165557338385
167	2024	3	29	11.7	2.305	3.198	7.362253054320585
168	2024	3	30	11.6	2.283	3.186	7.2912415852232595
169	2024	3	31	11.7	2.261	3.173	7.42114682777114
170	2024	4	1	11.7	2.24	3.16	7.450324495237165
171	2024	4	2	11.4	2.219	3.147	7.1797297742738575
172	2024	4	3	11.5	2.199	3.134	7.308378892533192
173	2024	4	4	11.4	2.178	3.121	7.238241779574556
174	2024	4	5	11.2	2.159	3.108	7.066331737684462
175	2024	4	6	11.6	2.14	3.096	7.493926373199771
176	2024	4	7	11.3	2.121	3.083	7.22242903378465
177	2024	4	8	11.1	2.102	3.07	7.051144564152951
178	2024	4	9	11.1	2.084	3.057	7.079034233232122
179	2024	4	10	11.2	2.067	3.044	7.206074376370882
180	2024	4	11	11.0	2.049	3.031	7.034360526155913
181	2024	4	12	11.0	2.033	3.018	7.060716929611952
182	2024	4	13	11.1	2.016	3.004	7.189047719471907
183	2024	4	14	11.1	2.001	2.991	7.2146824916623515
184	2024	4	15	11.3	1.985	2.978	7.441573977423545
185	2024	4	16	11.2	1.97	2.965	7.367545380690627
186	2024	4	17	10.9	1.956	2.952	7.0925739819870675
187	2024	4	18	10.9	1.942	2.939	7.117755941777007
188	2024	4	19	11.0	1.929	2.925	7.242709509689581
189	2024	4	20	11.6	1.916	2.912	7.8670656230823734
190	2024	4	21	10.8	1.903	2.899	7.091564981789912
191	2024	4	22	10.7	1.891	2.886	7.015060721987424
192	2024	4	23	10.9	1.88	2.872	7.238288575830287
193	2024	4	24	11.0	1.869	2.859	7.360882716315896
194	2024	4	25	10.5	1.859	2.846	6.88242857239918
195	2024	4	26	11.1	1.849	2.832	7.504849199115477
196	2024	4	27	11.0	1.839	2.819	7.426615974451601
197	2024	4	28	11.8	1.83	2.805	8.248080223386951
198	2024	4	29	11.1	1.822	2.792	7.567681067059485
199	2024	4	30	12.1	1.814	2.778	8.588152379371634
200	2024	5	1	10.8	1.807	2.765	7.3067335589917555
201	2024	5	2	10.9	1.8	2.751	7.426184522535053
202	2024	5	3	11.2	1.794	2.738	7.7437205874697765
203	2024	5	4	11.9	1.788	2.724	8.462126911496767
204	2024	5	5	11.0	1.782	2.71	7.5806150471236915
205	2024	5	6	11.4	1.778	2.697	7.99593648456457
206	2024	5	7	11.2	1.773	2.683	7.813352958635716
207	2024	5	8	11.5	1.769	2.669	8.129617966513846
208	2024	5	9	12.5	1.766	2.655	9.144723876704813
209	2024	5	10	12.6	1.763	2.642	9.259074372110849
210	2024	5	11	11.2	1.76	2.628	7.874309856490534
211	2024	5	12	12.5	1.758	2.614	9.188377730088607
212	2024	5	13	12.7	1.757	2.6	9.401274452669433
213	2024	5	14	11.4	1.755	2.586	8.11547179326891
214	2024	5	15	11.3	1.755	2.572	8.027259574729865
215	2024	5	16	11.9	1.754	2.558	8.640349354136717
216	2024	5	17	11.1	1.754	2.544	7.852266519968009
217	2024	5	18	9.5	1.755	2.53	6.263011790111697
218	2024	5	19	9.8	1.756	2.516	6.573824258283425
219	2024	5	20	11.5	1.757	2.502	8.28470466573652
220	2024	5	22	11.5	1.76	2.474	8.30543818446374
221	2024	5	23	10.7	1.762	2.459	7.516177835926268
222	2024	5	24	11.4	1.765	2.445	8.224882134082598
223	2024	5	25	11.7	1.768	2.431	8.53366390239805
224	2024	5	26	11.3	1.771	2.416	8.143422544304155
225	2024	5	27	10.8	1.774	2.402	7.652366907187027
226	2024	5	28	11.0	1.778	2.388	7.860169604542368
227	2024	5	29	11.8	1.782	2.373	8.668972810409025
228	2024	5	30	10.7	1.786	2.359	7.576953022809384
229	2024	5	31	11.6	1.79	2.344	8.485946808370269
230	2024	6	1	11.2	1.795	2.33	8.092898130298215
231	2024	6	2	10.7	1.8	2.315	7.600882497713609
232	2024	6	3	11.6	1.805	2.301	8.508030875448398
233	2024	6	4	10.9	1.81	2.286	7.8162259953577635
234	2024	6	5	11.4	1.815	2.271	8.324531182040667
235	2024	6	6	10.8	1.821	2.257	7.730792475636591
236	2024	6	7	11.3	1.826	2.242	8.239318092713829
237	2024	6	8	11.4	1.832	2.227	8.346771568170652
238	2024	6	9	13.1	1.838	2.212	10.054346851586233
239	2024	6	10	11.3	1.844	2.198	8.26105697597459
240	2024	6	11	10.7	1.85	2.183	7.668872679439234
241	2024	6	12	11.1	1.856	2.168	8.076813751254036
242	2024	6	13	11.4	1.862	2.153	8.384881467655944
