"Type","Comet","Obs date","Extinction","Meth","Comet vis","Mag","Conditions","Ref cat","Inst T","App","Inst F","Inst P","Coma vis","Coma","Coma notes","DC","Tail vis","Tail","Tail unit","PA","User","Association","Country","Location","Comment","Sky quality","Sky quality method","Reference stars"
"VIS","C/2023 A3","2024-06-10 22:33","","B","","10.8","","TK","T","20.3","10","77","","1.00'","","7.0","","0.15°","°","110°","GON05","International Comet Quarterly","Spain","","","","",""
"VIS","C/2023 A3","2024-05-07 20:15","","B","","9.9","","TT","L","35.0","4","44","","1.50'","","5.5","","0.06°","°","101°","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"VIS","C/2023 A3","2024-04-29 21:15","","B","","10.2","","TT","L","35.0","4","75","","1.10'","","6.0","","0.02°","°","100°","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"CCD","C/2023 A3","2024-05-01 12:50","","B","","10.5","","BG","A","50.5","3","360","","","","","","","","","LARab","","Russian Federation","Yuzhno-Sakhalinsk, Sakhalin, Russia","","","",""
"VIS","C/2023 A3","2024-05-29 11:16","","B","","10.7","","TJ","L","32.0","5","75","","1.00'","","6.0","","8.00'","'","100°","MIY01","International Comet Quarterly","Japan","","","","",""
"VIS","C/2023 A3","2024-05-13 20:50","","B","","10.2","","TT","L","35.0","4","44","","1.80'","","5.5","","0.06°","°","100°","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"VIS","C/2023 A3","2024-04-28 21:00","","B","","10.2","","TT","L","35.0","4","44","","1.60'","","5.5","","","","","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"VIS","C/2023 A3","2024-04-09 16:47","","B","","10.3","","TJ","T","20.3","10","62","","1.50'","","5.0","","","","","AIK","International Comet Quarterly","Japan","","","","",""
"VIS","C/2023 A3","2024-05-29 22:19","","B","","10.9","","TK","T","20.3","10","77","","1.00'","","7.0","","0.10°","°","100°","GON05","International Comet Quarterly","Spain","","","","",""
"VIS","C/2023 A3","2024-06-01 22:33","","B","","11.0","","TK","T","20.3","10","77","","1.00'","","7.0","","0.15°","°","110°","GON05","International Comet Quarterly","Spain","","","","",""
"VIS","C/2023 A3","2024-06-26 11:31","a","B","","10.5","","TJ","L","32.0","5","75","","1.60'","","5.5","","10.00'","'","110°","MIY01","International Comet Quarterly","Japan","","","","",""
"VIS","C/2023 A3","2024-05-03 14:38","","B","","10.0","","TJ","T","20.3","10","62","","2.00'","","5.0","","","","","AIK","International Comet Quarterly","Japan","","","","",""
"VIS","C/2023 A3","2024-04-29 21:00","","B","","10.0","","TT","L","35.0","4","44","","1.50'","","5.5","","","","","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"VIS","C/2023 A3","2024-04-08 21:36","","B","","10.6","","TK","T","20.3","10","77","","1.20'","","7.0","","","","","GON05","International Comet Quarterly","Spain","","","","",""
"VIS","C/2023 A3","2024-05-04 22:08","","B","","10.5","","TK","L","20.0","6","63","","1.60'","","6.0","","3.00'","'","95°","DIA02","","Spain","La Romana, Alicante, Spain","","20.3","SQM-L",""
"VIS","C/2023 A3","2024-04-30 23:45","","B","","10.7","","TK","L","44.0","5","100","","1.70'","","4.0","","","","","HAS02","VdS Fachgruppe Kometen","Germany","","","","",""
"VIS","C/2023 A3","2024-05-06 22:48","","B","","10.9","","TK","T","20.3","10","77","","1.10'","","7.0","","0.05°","°","100°","GON05","International Comet Quarterly","Spain","","","","",""
"VIS","C/2023 A3","2024-04-30 22:19","","B","","10.7","","TT","L","25.0","4","60","","2.00'","D","6.0","","3.00'","'","95°","FIL04","Polish Comet Observers","Poland","","","","",""
"VIS","C/2023 A3","2024-05-11 21:40","","B","","10.3","","TT","L","35.0","4","44","","1.70'","","5.5","","0.06°","°","100°","POW01","Polish Comet Observers","Poland","Knyszyn","","","",""
"CCD","C/2023 A3","2024-05-13 13:00","","c","","12.7","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-16 14:00","","c","","11.9","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-10 15:15","","c","","12.6","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-12 14:00","","c","","12.5","","BG","L","20.3","4","119","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-09 16:30","","c","","12.5","","BG","L","20.3","4","120","","","","","","","","","XIO","International Comet Quarterly","China","Daocheng, China(remote,O40)","","","",""
"CCD","C/2023 A3","2024-05-04 20:42","","c","","11.9","","GG","S","28.0","6","15","","","","","","","","","CSO","Society for Interplanetary Matter","Slovakia","Bratislava, SK","","","",""
"CCD","C/2023 A3","2024-04-12 19:55","","c","","10.4","","RG","T","28.0","6","30","","","","","","","","","CSO","Society for Interplanetary Matter","Slovakia","Blahová","","","",""
"CCD","C/2023 A3","2024-04-30 21:03","","c","","12.1","","GG","T","28.0","6","20","","","","","","","","","CSO","Society for Interplanetary Matter","Slovakia","Blahová","","","",""
"CCD","C/2023 A3","2024-04-28 21:07","","C","","10.6","","AR","L","30.0","4","1200","","3.70'","","","","5.50'","'","92°","DEK01","International Comet Quarterly","Belgium","","","","",""
